DateKey,Date,Month,Quarter,Year
20250101,01-01-2025,January,Q1,2025
20250102,02-01-2025,January,Q1,2025
20250103,03-01-2025,January,Q1,2025
20250104,04-01-2025,January,Q1,2025
20250105,05-01-2025,January,Q1,2025
20250106,06-01-2025,January,Q1,2025
20250107,07-01-2025,January,Q1,2025
20250108,08-01-2025,January,Q1,2025
20250109,09-01-2025,January,Q1,2025
20250110,10-01-2025,January,Q1,2025
20250111,11-01-2025,January,Q1,2025
20250112,12-01-2025,January,Q1,2025
20250113,13-01-2025,January,Q1,2025
20250114,14-01-2025,January,Q1,2025
20250115,15-01-2025,January,Q1,2025
20250116,16-01-2025,January,Q1,2025
20250117,17-01-2025,January,Q1,2025
20250118,18-01-2025,January,Q1,2025
20250119,19-01-2025,January,Q1,2025
20250120,20-01-2025,January,Q1,2025
20250121,21-01-2025,January,Q1,2025
20250122,22-01-2025,January,Q1,2025
20250123,23-01-2025,January,Q1,2025
20250124,24-01-2025,January,Q1,2025
20250125,25-01-2025,January,Q1,2025
20250126,26-01-2025,January,Q1,2025
20250127,27-01-2025,January,Q1,2025
20250128,28-01-2025,January,Q1,2025
20250129,29-01-2025,January,Q1,2025
20250130,30-01-2025,January,Q1,2025
20250131,31-01-2025,January,Q1,2025
20250201,01-02-2025,February,Q1,2025
20250202,02-02-2025,February,Q1,2025
20250203,03-02-2025,February,Q1,2025
20250204,04-02-2025,February,Q1,2025
20250205,05-02-2025,February,Q1,2025
20250206,06-02-2025,February,Q1,2025
20250207,07-02-2025,February,Q1,2025
20250208,08-02-2025,February,Q1,2025
20250209,09-02-2025,February,Q1,2025
20250210,10-02-2025,February,Q1,2025
20250211,11-02-2025,February,Q1,2025
20250212,12-02-2025,February,Q1,2025
20250213,13-02-2025,February,Q1,2025
20250214,14-02-2025,February,Q1,2025
20250215,15-02-2025,February,Q1,2025
20250216,16-02-2025,February,Q1,2025
20250217,17-02-2025,February,Q1,2025
20250218,18-02-2025,February,Q1,2025
20250219,19-02-2025,February,Q1,2025
