StudyID,StudyName,TherapeuticArea,Phase
ST001,Clinical Trial 1,Cardiology,Phase 1
ST002,Clinical Trial 2,Oncology,Phase 2
ST003,Clinical Trial 3,Endocrinology,Phase 3
ST004,Clinical Trial 4,Neurology,Phase 4
ST005,Clinical Trial 5,Immunology,Phase 1
ST006,Clinical Trial 6,Cardiology,Phase 2
ST007,Clinical Trial 7,Oncology,Phase 3
ST008,Clinical Trial 8,Endocrinology,Phase 4
ST009,Clinical Trial 9,Neurology,Phase 1
ST010,Clinical Trial 10,Immunology,Phase 2
ST011,Clinical Trial 11,Cardiology,Phase 3
ST012,Clinical Trial 12,Oncology,Phase 4
ST013,Clinical Trial 13,Endocrinology,Phase 1
ST014,Clinical Trial 14,Neurology,Phase 2
ST015,Clinical Trial 15,Immunology,Phase 3
ST016,Clinical Trial 16,Cardiology,Phase 4
ST017,Clinical Trial 17,Oncology,Phase 1
ST018,Clinical Trial 18,Endocrinology,Phase 2
ST019,Clinical Trial 19,Neurology,Phase 3
ST020,Clinical Trial 20,Immunology,Phase 4
ST021,Clinical Trial 21,Cardiology,Phase 1
ST022,Clinical Trial 22,Oncology,Phase 2
ST023,Clinical Trial 23,Endocrinology,Phase 3
ST024,Clinical Trial 24,Neurology,Phase 4
ST025,Clinical Trial 25,Immunology,Phase 1
ST026,Clinical Trial 26,Cardiology,Phase 2
ST027,Clinical Trial 27,Oncology,Phase 3
ST028,Clinical Trial 28,Endocrinology,Phase 4
ST029,Clinical Trial 29,Neurology,Phase 1
ST030,Clinical Trial 30,Immunology,Phase 2
ST031,Clinical Trial 31,Cardiology,Phase 3
ST032,Clinical Trial 32,Oncology,Phase 4
ST033,Clinical Trial 33,Endocrinology,Phase 1
ST034,Clinical Trial 34,Neurology,Phase 2
ST035,Clinical Trial 35,Immunology,Phase 3
ST036,Clinical Trial 36,Cardiology,Phase 4
ST037,Clinical Trial 37,Oncology,Phase 1
ST038,Clinical Trial 38,Endocrinology,Phase 2
ST039,Clinical Trial 39,Neurology,Phase 3
ST040,Clinical Trial 40,Immunology,Phase 4
ST041,Clinical Trial 41,Cardiology,Phase 1
ST042,Clinical Trial 42,Oncology,Phase 2
ST043,Clinical Trial 43,Endocrinology,Phase 3
ST044,Clinical Trial 44,Neurology,Phase 4
ST045,Clinical Trial 45,Immunology,Phase 1
ST046,Clinical Trial 46,Cardiology,Phase 2
ST047,Clinical Trial 47,Oncology,Phase 3
ST048,Clinical Trial 48,Endocrinology,Phase 4
ST049,Clinical Trial 49,Neurology,Phase 1
ST050,Clinical Trial 50,Immunology,Phase 2
